id	advert_id	domain	developer	address	gp	description	entrance_number	floor	area	room_count	flat_number	price	published_at	actualized_at
051a54b2-3ba7-4ee2-854d-83ecf42a4d24	320298	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №98		1-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	4	39.4	1	98	4250000	2023-06-01 05:39:34.605000+00:00	2023-08-01 00:04:42.827000+00:00
51e874ce-992a-4b10-b6a5-9b4dda6ff090	322718	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 3, квартира №223	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 3 подъезд	3	15	39.7	1	223	4350000	2023-12-15 18:52:40.766000+00:00	2024-01-19 11:31:07.044000+00:00
27df5ffe-9b32-4c36-ba4f-d5a7df55a658	322708	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 3, квартира №213	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 3 подъезд	3	13	39.6	1	213	4350000	2023-12-15 18:52:40.830000+00:00	2024-01-19 11:31:07.044000+00:00
51301e39-a645-4f61-9d64-433bed25e020	147042	t-dsk.ru	ТДСК	ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4, квартира №207		1-комнатная квартира на ул. Александра Митинского, дом 4, ГП 3.8 4 подъезд	4	10	41.0	1	207	4100000	2023-03-13 05:12:22.130000+00:00	2023-08-01 00:04:42.827000+00:00
b50e0805-847f-49ae-8b7f-d93ef22980d5	320812	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 2, квартира №108	ГП-7	2-комнатная квартира на ул. Александра Пушкина, д.3, к.1 ГП-7.11 2 подъезд	2	7	67.6	2	108	5800000	2023-08-27 12:11:50.852000+00:00	2023-09-01 17:10:30.524000+00:00
7555297c-1a48-4479-8616-42ce9670985e	322701	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 3, квартира №206	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 3 подъезд	3	12	39.6	1	206	4350000	2023-12-15 18:52:40.866000+00:00	2024-04-01 19:49:51.775000+00:00
5b487eab-afea-4924-889f-2e31e08abcc5	320355	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 3, квартира №155		3-комнатная квартира на ул. Монтажников, дом 40 3 подъезд	3	2	86.8	3	155	7350000	2023-06-01 05:38:27.006000+00:00	2023-08-08 10:18:00.148000+00:00
46ff7d4e-63b1-41cc-a337-a117884a0a6d	320052	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1, квартира №47	ГП-7	1-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 1 подъезд	1	9	39.4	1	47	3800000	2023-04-21 12:31:18.408000+00:00	2023-09-11 10:04:41.869000+00:00
04d5bedb-2984-4d62-87c2-7e6789c24f19	321026	t-dsk.ru	ТДСК	ул. Монтажников, д.  42, (ГП-5.10), подъезд 1, квартира №32	ГП-5	1-комнатная квартира на  ул. Монтажников, 42 (ГП-5.10) 1 подъезд	1	7	28.5	1	32	3400000	2023-08-27 12:11:57.908000+00:00	2023-11-27 09:20:40.334000+00:00
cfc81811-3c94-41d8-a8a8-63228e710691	320499	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 8, подъезд 1, квартира №30		2-комнатная квартира на ул. Валентины Трофимовой, дом 8 1 подъезд	1	7	58.7	2	30	6300000	2023-06-19 12:56:26.160000+00:00	2023-07-04 09:40:55.647000+00:00
e045e52d-8de9-4527-96e9-eb9227abe626	320109	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2, квартира №104	ГП-7	3-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 2 подъезд	2	5	86.8	3	104	5950000	2023-04-21 12:30:39.410000+00:00	2023-07-04 18:36:00.032000+00:00
97ef8ecb-7670-4473-b157-cb0f25c2cea2	320023	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1, квартира №18	ГП-7	3-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 1 подъезд	1	4	86.7	3	18	5950000	2023-04-21 12:30:39.546000+00:00	2023-07-04 18:36:00.032000+00:00
ef766a76-1909-4a4d-bc69-eb3016c19347	321265	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 1, квартира №47	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 1 подъезд	1	9	39.4	1	47	4550000	2023-08-27 12:13:03.227000+00:00	2023-11-24 09:54:05.547000+00:00
